User Link,Reputation
"1085062","26398"
"1468366","26381"
"233","26367"
"61989","26358"
"338803","26352"
"16036","26350"
"285578","26341"
"41619","26341"
"5422","26333"
"68204","26312"
"54964","26310"
"37947","26300"
"111988","26297"
"906773","26287"
"38055","26282"
"15785","26267"
"472792","26264"
"719034","26256"
"30155","26253"
"1336150","26247"
"641766","26247"
"679449","26237"
"1240763","26229"
"6524","26185"
"64767","26181"
"603855","26163"
"257550","26163"
"204701","26161"
"15622","26159"
"418183","26156"
"82592","26156"
"1315767","26142"
"301883","26140"
"849891","26110"
"2385","26102"
"383478","26101"
"1236185","26099"
"541136","26091"
"93652","26087"
"33226","26084"
"21336","26082"
"121993","26080"
"6391","26079"
"87158","26057"
"643591","26050"
"3349551","26049"
"217862","26034"
"232403","26020"
"1250301","26005"
"663031","26001"
"793522","25998"
"79566","25977"
"20789","25971"
"1006010","25962"
"204788","25960"
"11289","25948"
"28401","25945"
"14744","25940"
"268273","25931"
"1384652","25928"
"912144","25922"
"42126","25922"
"197143","25916"
"1654265","25914"
"246776","25913"
"8670","25911"
"2049063","25909"
"1161878","25906"
"17447","25903"
"1704166","25895"
"252591","25892"
"757508","25885"
"437","25883"
"185527","25873"
"72508","25860"
"3067523","25859"
"12161","25858"
"304832","25843"
"59641","25839"
"256970","25834"
"21974","25826"
"46387","25820"
"5416","25800"
"371250","25796"
"69634","25776"
"53543","25773"
"2725969","25762"
"417057","25762"
"61289","25760"
"610573","25756"
"1821","25741"
"749588","25739"
"28380","25734"
"817778","25734"
"2621536","25701"
"1407478","25700"
"1011724","25694"
"155861","25692"
"129655","25687"
"971127","25670"
"100516","25656"
"803787","25648"
"882003","25637"
"420683","25634"
"675383","25616"
"34258","25608"
"2637490","25596"
"468973","25594"
"553613","25589"
"41942","25585"
"995891","25585"
"120513","25582"
"216021","25581"
"42921","25578"
"248994","25569"
"568109","25567"
"672","25553"
"577423","25553"
"13313","25548"
"720912","25546"
"64750","25545"
"445425","25501"
"63733","25499"
"1880431","25495"
"4574","25493"
"1441122","25493"
"3204551","25486"
"1253222","25484"
"107862","25474"
"491757","25469"
"55857","25454"
"105019","25451"
"242889","25441"
"3234959","25437"
"1133011","25434"
"59058","25406"
"547331","25398"
"48387","25398"
"5731","25386"
"967840","25377"
"1897","25373"
"49701","25372"
"277683","25368"
"931982","25342"
"178761","25342"
"1290634","25341"
"13198","25337"
"119114","25335"
"40310","25331"
"11621","25321"
"292166","25309"
"3093387","25308"
"276994","25306"
"3434","25304"
"2299431","25295"
"128645","25292"
"343568","25283"
"120808","25279"
"1906557","25272"
"2324107","25271"
"1120015","25256"
"391531","25211"
"1207991","25205"
"584192","25200"
"773159","25186"
"37751","25185"
"4856258","25175"
"485561","25174"
"153980","25167"
"21945","25142"
"255","25135"
"107004","25132"
"1870232","25130"
"203420","25126"
"6335","25125"
